,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442.0,6800.0K,100000.0,Paid,4.99,Everyone,Business,March 25 2018,1.5.2,4.0 and up
1,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295.0,39000.0K,100000.0,Paid,4.99,Everyone,Business,April 11 2017,3.4.6,3.0 and up
2,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442.0,6800.0K,100000.0,Paid,4.99,Everyone,Business,March 25 2018,1.5.2,4.0 and up
3,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295.0,39000.0K,100000.0,Paid,4.99,Everyone,Business,April 11 2017,3.4.6,3.0 and up
4,Calculator,DATING,2.6,57.0,6200.0K,1000.0,Paid,6.99,Everyone,Dating,October 25 2017,1.1.6,4.0 and up
5,AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2.0,17000.0K,100.0,Paid,7.99,Mature 17,Dating,January 21 2017,1.0.1,4.0 and up
6,Sago Mini Hat Maker,EDUCATION,4.9,11.0,63000.0K,1000.0,Paid,3.99,Everyone,Education;Pretend Play,July 24 2017,1.0,4.0.3 and up
7,Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21.0,44000.0K,1000.0,Paid,5.99,Everyone,Education;Education,July 21 2017,1.3,4.1 and up
8,Toca Life: City,EDUCATION,4.7,31085.0,24000.0K,500000.0,Paid,3.99,Everyone,Education;Pretend Play,July 6 2018,1.5-play,4.4 and up
9,Toca Life: Hospital,EDUCATION,4.7,3528.0,24000.0K,100000.0,Paid,3.99,Everyone,Education;Pretend Play,June 12 2018,1.1.1-play,4.4 and up
10,Meme Generator,ENTERTAINMENT,4.6,3771.0,53000.0K,100000.0,Paid,2.99,Mature 17,Entertainment,August 3 2018,4.426,4.1 and up
11,Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268.0,2300.0K,50000.0,Paid,4.99,Everyone,Food & Drink,June 3 2018,1.4.4,4.0 and up
12,Meditation Studio,HEALTH_AND_FITNESS,4.6,1026.0,29000.0K,10000.0,Paid,3.99,Everyone,Health & Fitness,May 15 2018,1.0.6,4.3 and up
13,The Game of Life,GAME,4.4,18621.0,63000.0K,100000.0,Paid,2.99,Everyone,Board,July 4 2018,2.1.2,4.4 and up
14,Clue,GAME,4.6,19922.0,35000.0K,100000.0,Paid,1.99,Everyone 10,Board,July 30 2018,2.2.5,5.0 and up
15,The Room: Old Sins,GAME,4.9,21119.0,48000.0K,100000.0,Paid,4.99,Everyone,Puzzle,April 18 2018,1.0.1,4.4 and up
16,The Escapists,GAME,4.4,7412.0,84000.0K,100000.0,Paid,4.99,Teen,Strategy,April 26 2018,1.1.0,2.3 and up
17,RollerCoaster Tycoon® Classic,GAME,4.6,10795.0,69000.0K,100000.0,Paid,5.99,Everyone,Simulation,December 21 2017,1.2.1.1712080,4.0.3 and up
