,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159.0,19000.0K,10000.0,Free,0.0,Everyone,Art & Design,January 7 2018,1.0.0,4.0.3 and up
1,Coloring book moana,ART_AND_DESIGN,3.9,967.0,14000.0K,500000.0,Free,0.0,Everyone,Art & Design;Pretend Play,January 15 2018,2.0.0,4.0.3 and up
2,U Launcher Lite – FREE Live Cool Themes Hide Apps,ART_AND_DESIGN,4.7,87510.0,8700.0K,5000000.0,Free,0.0,Everyone,Art & Design,August 1 2018,1.2.4,4.0.3 and up
3,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967.0,2800.0K,100000.0,Free,0.0,Everyone,Art & Design;Creativity,June 20 2018,1.1,4.4 and up
4,Paper flowers instructions,ART_AND_DESIGN,4.4,167.0,5600.0K,50000.0,Free,0.0,Everyone,Art & Design,March 26 2017,1.0,2.3 and up
5,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178.0,19000.0K,50000.0,Free,0.0,Everyone,Art & Design,April 26 2018,1.1,4.0.3 and up
6,Infinite Painter,ART_AND_DESIGN,4.1,36815.0,29000.0K,1000000.0,Free,0.0,Everyone,Art & Design,June 14 2018,6.1.61.1,4.2 and up
7,Garden Coloring Book,ART_AND_DESIGN,4.4,13791.0,33000.0K,1000000.0,Free,0.0,Everyone,Art & Design,September 20 2017,2.9.2,3.0 and up
8,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121.0,3100.0K,10000.0,Free,0.0,Everyone,Art & Design;Creativity,July 3 2018,2.8,4.0.3 and up
9,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880.0,28000.0K,1000000.0,Free,0.0,Everyone,Art & Design,October 27 2017,1.0.4,4.1 and up
10,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788.0,12000.0K,1000000.0,Free,0.0,Everyone,Art & Design,July 31 2018,1.0.15,4.0 and up
11,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829.0,20000.0K,10000000.0,Free,0.0,Teen,Art & Design,April 2 2018,3.8,4.1 and up
12,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326.0,21000.0K,100000.0,Free,0.0,Everyone,Art & Design,June 26 2018,1.0.4,4.4 and up
13,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518.0,37000.0K,100000.0,Free,0.0,Everyone,Art & Design,August 3 2018,1.2.3,2.3 and up
